id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5061866901999239,OpXrk8o5N,5876965012,定陶发布-,【#独居老人遇诈骗连续几晚坐门口发呆#】7月29日（原创采访）四川资阳，一对男女诈骗独居老人购买净水器，害怕对质将老人手机调成静音，老人受骗后气得直跺脚。#独居老人遇诈骗气的直跺脚#河南之声的微博视频L河南之声的微博视频#定陶融媒#,,,,"独居老人遇诈骗连续几晚坐门口发呆,独居老人遇诈骗气的直跺脚,定陶融媒",0,7,9,2024-07-30 16:02,微博视频号,,"http://f.video.weibocdn.com/o0/VCsNqY2Vlx08gNYvFEuA010412006RGT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002642&ssig=QIScbR2ah1&KID=unistore,video",,,蓝V
5061858614839695,OpXdXkj1B,2000016880,逐浪新闻,【#独居老人遇诈骗连续几晚坐门口发呆#】7月29日（原创采访）四川资阳，一对男女诈骗独居老人购买净水器，害怕对质将老人手机调成静音，老人受骗后气得直跺脚。#独居老人遇诈骗气的直跺脚#L河南之声的微博视频,,,,"独居老人遇诈骗连续几晚坐门口发呆,独居老人遇诈骗气的直跺脚",1,0,0,2024-07-30 15:30,微博视频号,,"http://f.video.weibocdn.com/o0/VCsNqY2Vlx08gNYvFEuA010412006RGT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002642&ssig=QIScbR2ah1&KID=unistore,video",,,蓝V
5061800712475207,OpVIzanUH,1844967414,内蒙古晨报,【#独居老人遇诈骗连续几晚坐门口发呆#】7月29日（原创采访）四川资阳，一对男女诈骗独居老人购买净水器，害怕对质将老人手机调成静音，老人受骗后气得直跺脚。#独居老人遇诈骗气的直跺脚#L河南之声的微博视频,,,,"独居老人遇诈骗连续几晚坐门口发呆,独居老人遇诈骗气的直跺脚",0,0,2,2024-07-30 11:39,微博视频号,,"http://f.video.weibocdn.com/o0/VCsNqY2Vlx08gNYvFEuA010412006RGT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002642&ssig=QIScbR2ah1&KID=unistore,video",,,蓝V
5061792608816082,OpVvuAZsS,5249306689,余江发布,【#独居老人遇诈骗连续几晚坐门口发呆#】7月29日（原创采访）四川资阳，一对男女诈骗独居老人购买净水器，害怕对质将老人手机调成静音，老人受骗后气得直跺脚。#独居老人遇诈骗气的直跺脚#L河南之声的微博视频,,,,"独居老人遇诈骗连续几晚坐门口发呆,独居老人遇诈骗气的直跺脚",0,0,1,2024-07-30 11:07,iPhone客户端,,"http://f.video.weibocdn.com/o0/VCsNqY2Vlx08gNYvFEuA010412006RGT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002642&ssig=QIScbR2ah1&KID=unistore,video",,,蓝V
5061790849304790,OpVsED2Bg,7797700732,东明县融媒体中心,【#独居老人遇诈骗连续几晚坐门口发呆#】7月29日（原创采访）四川资阳，一对男女诈骗独居老人购买净水器，害怕对质将老人手机调成静音，老人受骗后气得直跺脚。#独居老人遇诈骗气的直跺脚#L河南之声的微博视频,,,,"独居老人遇诈骗连续几晚坐门口发呆,独居老人遇诈骗气的直跺脚",0,0,0,2024-07-30 11:00,iPhone客户端,,"http://f.video.weibocdn.com/o0/VCsNqY2Vlx08gNYvFEuA010412006RGT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002642&ssig=QIScbR2ah1&KID=unistore,video",,,蓝V
5061787156480793,OpVmHrbWV,7840889308,海阳市融媒体中心,【#独居老人遇诈骗连续几晚坐门口发呆#】7月29日（原创采访）四川资阳，一对男女诈骗独居老人购买净水器，害怕对质将老人手机调成静音，老人受骗后气得直跺脚。#独居老人遇诈骗气的直跺脚#L河南之声的微博视频,,,,"独居老人遇诈骗连续几晚坐门口发呆,独居老人遇诈骗气的直跺脚",0,0,0,2024-07-30 10:46,微博视频号,,"http://f.video.weibocdn.com/o0/VCsNqY2Vlx08gNYvFEuA010412006RGT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002642&ssig=QIScbR2ah1&KID=unistore,video",,,蓝V
5061785919424667,OpVkHDxML,1715196611,福建987私家车广播,【#独居老人遇诈骗连续几晚坐门口发呆#】7月29日（原创采访）四川资阳，一对男女诈骗独居老人购买净水器，害怕对质将老人手机调成静音，老人受骗后气得直跺脚。#独居老人遇诈骗气的直跺脚#L河南之声的微博视频,,,,"独居老人遇诈骗连续几晚坐门口发呆,独居老人遇诈骗气的直跺脚",0,0,0,2024-07-30 10:41,微博视频号,,"http://f.video.weibocdn.com/o0/VCsNqY2Vlx08gNYvFEuA010412006RGT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002642&ssig=QIScbR2ah1&KID=unistore,video",,,蓝V
5061775649145394,OpV48Cn8m,7376522041,数字声誉实验室,当某台开始出现各种神药的时候，就会知道这种组织为什么还存在。【#独居老人遇诈骗连续几晚坐门口发呆#】7月29日（原创采访）四川资阳，一对男女诈骗独居老人购买净水器，害怕对质将老人手机调成静音，老人受骗后气得直跺脚。#独居老人遇诈骗气的直跺脚#L河南之声的微博视频,,,,"独居老人遇诈骗连续几晚坐门口发呆,独居老人遇诈骗气的直跺脚",0,0,0,2024-07-30 10:00,微博视频号,,"http://f.video.weibocdn.com/o0/VCsNqY2Vlx08gNYvFEuA010412006RGT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002642&ssig=QIScbR2ah1&KID=unistore,video",,,普通用户
5061771947934815,OpUYaxicT,3811261522,鹰潭发布,【#独居老人遇诈骗连续几晚坐门口发呆#】7月29日（原创采访）四川资阳，一对男女诈骗独居老人购买净水器，害怕对质将老人手机调成静音，老人受骗后气得直跺脚。#独居老人遇诈骗气的直跺脚#L河南之声的微博视频,,,,"独居老人遇诈骗连续几晚坐门口发呆,独居老人遇诈骗气的直跺脚",2,0,0,2024-07-30 09:45,微博视频号,,"http://f.video.weibocdn.com/o0/VCsNqY2Vlx08gNYvFEuA010412006RGT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002642&ssig=QIScbR2ah1&KID=unistore,video",,,蓝V
5061770565914228,OpUVWoOyM,5996300865,质量万里行消费服务平台,【#独居老人遇诈骗连续几晚坐门口发呆#】7月29日（原创采访）四川资阳，一对男女诈骗独居老人购买净水器，害怕对质将老人手机调成静音，老人受骗后气得直跺脚。#独居老人遇诈骗气的直跺脚#L河南之声的微博视频,,,,"独居老人遇诈骗连续几晚坐门口发呆,独居老人遇诈骗气的直跺脚",0,0,0,2024-07-30 09:40,微博视频号,,"http://f.video.weibocdn.com/o0/VCsNqY2Vlx08gNYvFEuA010412006RGT0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002643&ssig=34yMrrUOdg&KID=unistore,video",,,蓝V
