id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4752478358995011,Lm1cvBK0P,7287803480,栗子舟划呀划,#被互联网遗忘的老人##如何为老人提供互联网便利#希望有更多的人愿意去帮助他们，多组织一些活动去为这些老年人普及互联网他们不该被遗忘怎么可以让这种事情再次发生？！,,,,"被互联网遗忘的老人,如何为老人提供互联网便利",1,0,0,2022-03-29 22:03,vivo手机,,,,,普通用户
4606965185250814,K2Vcam1Yy,7387565605,Panacea_CTB,｜ᯓ📲👵🏻↘Panacea的重磅发布在疫情和互联网时代的大背景下，手机已经成为了人类生活必不可少的一部分。学会手机使用也因此变成了一件不可忽视的重要事宜。但是许多老年人都有一定的障碍，而家中后辈在教授过程中又多多少少有不得要领。╭◜◝͡◜◝╮经过四个月的调查研究和探索(⸝⸝⸝⁰⃚⃙̴༝⁰⃚⃙̴⸝⸝⸝)Panacea考量了多方因素，最终决定╰◟◞͜◟◞╯由Alice同学绘制出一份生动有趣的动画，帮助老人更好的理解记忆手机的各个基础功能，以便更加顺利的“接入”。同时，我们也总结出几点研究显示在教授过程中非常重要的因素：1.耐心&陪伴：不要展露出不耐烦，不要让老人觉得自己很无能，那会使他们产生抵触情绪2.简化&有趣：帮助老人提取重要功能，并用简洁有趣的方式帮助他们理解掌握了这两个基础事宜再辅以我们的视频———妈妈再也不用担心爷爷奶奶不会用手机啦！#万能配方！为了老年人的便利生活！##老人##陪你过年##互联网##如何为老人提供互联网便利##被互联网遗忘的老人##你家老人能够自主使用互联网产品了吗#LPanacea_CTB的微博视频,,,,"万能配方！为了老年人的便利生活！,老人,陪你过年,互联网,如何为老人提供互联网便利,被互联网遗忘的老人,你家老人能够自主使用互联网产品了吗",4,2,6,2021-02-21 09:05,学习教程 · 视频社区,,"http://f.video.weibocdn.com/003xO92jgx07KxgSOoso01041200fXfj0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002184&ssig=YefrcFWLGw&KID=unistore,video",,,
4607057006957864,K2XAgtc3C,5362984641,Aninc的鹅,快来收看！#万能配方！为了老年人的便利生活！##老人##陪你过年##互联网##如何为老人提供互联网便利##被互联网遗忘的老人##你家老人能够自主使用互联网产品了吗#,,,,"万能配方！为了老年人的便利生活！,老人,陪你过年,互联网,如何为老人提供互联网便利,被互联网遗忘的老人,你家老人能够自主使用互联网产品了吗",0,0,6,2021-02-21 15:10,iQOO Pro 5G性能旗舰,,,4606965185250814,,普通用户
4606686725674174,K2NX2nO6W,7387565605,Panacea_CTB,🐮❷⓿❷❶⦿ฅ̳͒•ˑ̫•̳͒ฅ♡通过过去四个月的研究，Panacea不仅仅有效的帮助了自己家的长辈学习使用了手机并拥有了许多宝贵的心得。更是疏离总结研究所获与实验所得，为大家带来了详细的针对性解决方案：O老人学不会？紧张焦虑？TA们是这样解决的📣('ᴗ')و快来看看啦！,,,,,1,0,3,2021-02-20 14:39,iPhone客户端,,,,,
4606687215883575,K2NXPoGAn,7387565605,Panacea_CTB,#万能配方！为了老年人的便利生活！##老人##陪你过年##互联网##如何为老人提供互联网便利##被互联网遗忘的老人##你家老人能够自主使用互联网产品了吗#,,,,"万能配方！为了老年人的便利生活！,老人,陪你过年,互联网,如何为老人提供互联网便利,被互联网遗忘的老人,你家老人能够自主使用互联网产品了吗",0,0,3,2021-02-20 14:41,iPhone客户端,,,4606686725674174,,普通用户
4605196560509497,K2bby28xH,7387565605,Panacea_CTB,初五快乐！学会使用手机也是一种隐藏财富哦～/文Cecilia/美工Mina/#万能配方！为了老年人的便利生活！##老人##陪你过年##互联网##如何为老人提供互联网便利##被互联网遗忘的老人##你家老人能够自主使用互联网产品了吗#,,,,"万能配方！为了老年人的便利生活！,老人,陪你过年,互联网,如何为老人提供互联网便利,被互联网遗忘的老人,你家老人能够自主使用互联网产品了吗",0,0,2,2021-02-16 11:58,iPhone客户端,"https://wx4.sinaimg.cn/large/0083XthXly1gnnda4tkupj30u00u0gtn.jpg,https://wx2.sinaimg.cn/large/0083XthXly1gnnd3475rjj30u00u0128.jpg,https://wx1.sinaimg.cn/large/0083XthXly1gnnd33ebhej30u00u047w.jpg,https://wx4.sinaimg.cn/large/0083XthXly1gnnd34o48ej30u00u0tie.jpg,https://wx4.sinaimg.cn/large/0083XthXly1gnnd35jzuzj30u00u07e4.jpg,https://wx3.sinaimg.cn/large/0083XthXly1gnnd36lgq5j30u00u0ajv.jpg,https://wx4.sinaimg.cn/large/0083XthXly1gnnda5afvlj30u00u0tha.jpg,https://wx1.sinaimg.cn/large/0083XthXly1gnndd6hdtfj30u00u046d.jpg,https://wx2.sinaimg.cn/large/0083XthXly1gnndc6kup0j30u00u0tgl.jpg",,,,普通用户
4604821291663569,K21qh6YLL,7387565605,Panacea_CTB,➜日安。今天的分享是一个小小的剧透🙊/视频绘画制作Alice/#万能配方！为了老年人的便利生活！##老人##陪你过年##互联网##如何为老人提供互联网便利##被互联网遗忘的老人##你家老人能够自主使用互联网产品了吗#LPanacea_CTB的微博视频,,,,"万能配方！为了老年人的便利生活！,老人,陪你过年,互联网,如何为老人提供互联网便利,被互联网遗忘的老人,你家老人能够自主使用互联网产品了吗",1,1,4,2021-02-15 11:06,iPhone客户端,,"http://f.video.weibocdn.com/003PRUKfgx07KnPQbrIc010412001xCo0E010.mp4?label=mp4_720p&template=960x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002184&ssig=VKi4oggw%2Bp&KID=unistore,video",,,普通用户
4604482321653115,K1SBy6W39,7387565605,Panacea_CTB,➜老旧设备不要扔，一转手，成为长辈的学习好伙伴情人节快乐！/文Adam/美工Cindy/#万能配方！为了老年人的便利生活！##手机##老人##如何为老人提供互联网便利##你家老人能够自主使用互联网产品了吗##被互联网遗忘的老人#,,,,"万能配方！为了老年人的便利生活！,手机,老人,如何为老人提供互联网便利,你家老人能够自主使用互联网产品了吗,被互联网遗忘的老人",1,1,4,2021-02-14 12:39,iPhone客户端,"https://wx1.sinaimg.cn/large/0083XthXly1gnmyi61u74j30u00u0alf.jpg,https://wx2.sinaimg.cn/large/0083XthXly1gnmyi6lgf2j30u00u049t.jpg,https://wx1.sinaimg.cn/large/0083XthXly1gnmyi4zxgej30u00u0n84.jpg,https://wx2.sinaimg.cn/large/0083XthXly1gnmyi70sd0j30u00u0thr.jpg,https://wx3.sinaimg.cn/large/0083XthXly1gnmyi7d83zj30u00u0wnd.jpg,https://wx1.sinaimg.cn/large/0083XthXly1gnmyi7operj30u00u0tia.jpg,https://wx1.sinaimg.cn/large/0083XthXly1gnmyi804iaj30u00u0qe6.jpg,https://wx4.sinaimg.cn/large/0083XthXly1gnmyi8ithyj30u00u0gvv.jpg,https://wx3.sinaimg.cn/large/0083XthXly1gnmyi9hja9j30u00u0al9.jpg",,,,普通用户
4604195505974439,K1L8Wp4dV,7387565605,Panacea_CTB,初二快乐[牛哞哞]抵触情绪如何化解？来看看cindy的奇思妙想吧/文Cindy/美工Sally/#万能配方！为了老年人的便利生活！#,,,,万能配方！为了老年人的便利生活！,2,1,5,2021-02-13 17:40,iPhone客户端,"https://wx4.sinaimg.cn/large/0083XthXly1gnm1imze3qj30jy0jyq4g.jpg,https://wx3.sinaimg.cn/large/0083XthXly1gnm1ipq9z0j30dc0dc74d.jpg,https://wx3.sinaimg.cn/large/0083XthXly1gnm1ipe8p4j30u00u0myo.jpg,https://wx2.sinaimg.cn/large/0083XthXly1gnm1ini7doj322t22t1ky.jpg,https://wx4.sinaimg.cn/large/0083XthXly1gnm1imkd9nj322t22tqv5.jpg,https://wx4.sinaimg.cn/large/0083XthXly1gnm1io6i0pj322t22tqv5.jpg,https://wx4.sinaimg.cn/large/0083XthXly1gnm1kgt6gsj30dc0dc74d.jpg,https://wx2.sinaimg.cn/large/0083XthXly1gnm1iq2oscj30fy0fy74j.jpg,https://wx4.sinaimg.cn/large/0083XthXly1gnm1it2idtj30af0afaa4.jpg",,,,
4604432275474083,K1RiPmY3F,7387565605,Panacea_CTB,#老人##手机##如何为老人提供互联网便利##被互联网遗忘的老人#過情人節不如學習教長輩用手機,,,,"老人,手机,如何为老人提供互联网便利,被互联网遗忘的老人",0,0,5,2021-02-14 09:21,iPhone客户端,,,4604195505974439,,普通用户
