id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4998053636869242,NF8P1sP0e,2328007923,灰产圈_,发布了头条文章：《上海8旬老太太被骗到郊区农宅蜗居，还差点丢了上海市区一套房？》#8000多个老人被同龄人骗走7亿养老金##骗领养老金将母亲藏尸冰柜数月##恋爱脑爷叔被骗170万养老金##为骗养老金将病逝母亲藏冰柜##假弟弟骗起养老金不眨眼##诱骗老人买保健品诈骗养老金近6500万##保险推销员变身干女儿诈骗老太18万##干女儿骗走老人200万和2套房后诈死##干女儿诱骗老人投资卷走300余万##资助干女儿被骗一百多万元##谎称认干女儿骗女研究生近万元#灰产圈超话O上海8旬老太太被骗到郊区农宅蜗居，还差点丢了上海市区一套房？,http://t.cn/A6jeimH2,,,"8000多个老人被同龄人骗走7亿养老金,骗领养老金将母亲藏尸冰柜数月,恋爱脑爷叔被骗170万养老金,为骗养老金将病逝母亲藏冰柜,假弟弟骗起养老金不眨眼,诱骗老人买保健品诈骗养老金近6500万,保险推销员变身干女儿诈骗老太18万,干女儿骗走老人200万和2套房后诈死,干女儿诱骗老人投资卷走300余万,资助干女儿被骗一百多万元,谎称认干女儿骗女研究生近万元",1,0,2,2024-02-05 13:51,微博 weibo.com,,,,山东,黄V
4819007062153161,M7Ysy928p,2972503342,江北检察,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#新民晚报L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界",0,19,11,2022-09-29 12:04,iPhone客户端,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940903&ssig=jTjlpDUH2N&KID=unistore,video",,,蓝V
4813271461533213,M5zfA6qRf,5120350879,乐山市中区110,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",0,0,0,2022-09-13 16:13,Android,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940923&ssig=ezbr0Tp%2FoM&KID=unistore,video",,,蓝V
4813264687730587,M5z4Ewr4T,3599647027,遂宁公安,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",1,4,1,2022-09-13 15:46,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940923&ssig=ezbr0Tp%2FoM&KID=unistore,video",,,蓝V
4813221527816676,M5xX2wNtq,2206820037,成都公安,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",5,5,6,2022-09-13 12:55,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940923&ssig=ezbr0Tp%2FoM&KID=unistore,video",,,蓝V
4813187214214986,M5x3HhGvE,7543464739,成都东部新区公安,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#新民晚报L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界",2,0,0,2022-09-13 10:38,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940923&ssig=ezbr0Tp%2FoM&KID=unistore,video",,,蓝V
4811475555714704,M4OwXnYEE,3205239522,资阳中院,#打击整治养老诈骗#【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。【cr.新民晚报新民网】L新民晚报新民网的微博视频,,,,"打击整治养老诈骗,上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",0,0,0,2022-09-08 17:17,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940930&ssig=cOMjOuAL7w&KID=unistore,video",,,蓝V
4809008320612055,M3Mly2zdR,3695637705,白水法院,#案件播报#【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#新民晚报L新民晚报新民网的微博视频,,,,"案件播报,上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界",1,0,1,2022-09-01 21:53,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940939&ssig=LN393tOydx&KID=unistore,video",,,蓝V
4809004876304437,M3MfZqs4t,3702523900,宁波镇海检察,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#新民晚报L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界",1,17,3,2022-09-01 21:39,iPhone客户端,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940939&ssig=LN393tOydx&KID=unistore,video",,,蓝V
4808972702321339,M3Lq69JSX,5156648270,白银区检察院,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#新民晚报L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界",0,0,0,2022-09-01 19:31,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940939&ssig=LN393tOydx&KID=unistore,video",,,蓝V
4808941562759103,M3KBSbzLF,3605315293,延安中院,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#新民晚报L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界",0,0,0,2022-09-01 17:27,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940939&ssig=LN393tOydx&KID=unistore,video",,,蓝V
4808931250275041,M3Klf19y9,3877456382,新城法院,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#新民晚报L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界",1,0,0,2022-09-01 16:46,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940939&ssig=LN393tOydx&KID=unistore,video",,,蓝V
4808921992921526,M3K6jcg1o,3885795212,金台法院,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#新民晚报L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界",9,14,6,2022-09-01 16:10,iPhone客户端,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940939&ssig=LN393tOydx&KID=unistore,video",,,蓝V
4807795024857374,M3gMCknCK,2482740303,青白江区大同街道,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",0,0,0,2022-08-29 13:32,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940941&ssig=O9e1OXc9Jk&KID=unistore,video",,,蓝V
4807741774499558,M3foJiSxw,2459967152,湖南宁乡法院,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",1,2,0,2022-08-29 10:00,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940941&ssig=O9e1OXc9Jk&KID=unistore,video",,,
4807742852169949,M3fqt96vb,2588370910,襄城法院,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",0,0,0,2022-08-29 10:04,微博搜索,,,4807741774499558,,蓝V
4807733104613487,M3faKjmb5,6323859839,资源山城轶事,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#【#打击整治养老诈骗#】近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,打击整治养老诈骗",0,0,1,2022-08-29 09:25,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940941&ssig=O9e1OXc9Jk&KID=unistore,video",,广西,蓝V
4807364190406202,M35zJ1HFE,5217409150,平安北京昌平,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",0,0,2,2022-08-28 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940943&ssig=vnZ78djzFO&KID=unistore,video",,,蓝V
4807192647572359,M3172vLUP,5630831825,雨花公安,"【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#（新民晚报）#男子银行取钱惊动警方,一查竟是逃犯#L新民晚报新民网的微博视频",,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界,男子银行取钱惊动警方,一查竟是逃犯",0,4,6,2022-08-27 21:38,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940944&ssig=uulOf9bpkw&KID=unistore,video",,,蓝V
4807074011941929,M2Y1H89br,3908792397,鸡西市中级法院,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。@豫网L新民晚报新民网的微博视频,,,豫网,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",3,47,16,2022-08-27 13:46,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940944&ssig=uulOf9bpkw&KID=unistore,video",,,蓝V
4806998271723773,M2W3x7eqN,2055648745,平安郑州,【#8000多个老人被同龄人骗走7亿养老金#】#上海警方破获7亿养老金诈骗案#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L新民晚报新民网的微博视频,,,,"8000多个老人被同龄人骗走7亿养老金,上海警方破获7亿养老金诈骗案",1,0,1,2022-08-27 08:46,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940944&ssig=uulOf9bpkw&KID=unistore,video",,,蓝V
4806840733143085,M2RXrdbEV,5928833499,南宁西乡塘检察,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#新民晚报L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界",0,9,3,2022-08-26 22:20,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940945&ssig=WETnWu9C%2FO&KID=unistore,video",,,蓝V
4806832793064896,M2RKDcRjO,1807058715,辽视说天下,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L辽视说天下的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",0,0,0,2022-08-26 21:48,iPhone客户端,,"http://f.video.weibocdn.com/o0/dpjYrE7ilx07YIXZiJiM01041200j1EM0E010.mp4?label=mp4_hd&template=480x268.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940945&ssig=pl5yq3jVpA&KID=unistore,video",,,蓝V
4806786039942895,M2QxdFIBh,5165082681,淮安网警,#百日行动#【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L新民晚报新民网的微博视频,,,,"百日行动,上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",0,0,0,2022-08-26 18:42,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940945&ssig=WETnWu9C%2FO&KID=unistore,video",,,蓝V
4806782096508942,M2QqRrjgW,7639316640,贵州养老,【#上海警方破获7亿养老金诈骗案#：#8000多个老人被同龄人骗走7亿养老金#】近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金",0,0,0,2022-08-26 18:27,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940945&ssig=WETnWu9C%2FO&KID=unistore,video",,贵州,蓝V
4806763163159431,M2PWkdfUz,5601861254,鹤岗兴安检察,【#上海警方破获7亿养老金诈骗案#】#8000多个老人被同龄人骗走7亿养老金#近日，上海浦东警方通过缜密侦查，成功捣毁一养老诈骗团伙。值得注意的是，该诈骗团伙大量骨干自身就是老人，他们将目标放在同龄人身上，该团伙以所谓发展下线、集资返点并购买知识产权授权的名义，设置资金池吸引受骗老人将养老金存入指定账户，承诺到期本息兑付。经过初步梳理，案件涉及全国8000余名被害人，案值7亿余元。目前，嫌疑人蔡某等34人因涉嫌诈骗罪被浦东警方依法刑事拘留，案件正在进一步审理中。#蓝v视界#新民晚报L新民晚报新民网的微博视频,,,,"上海警方破获7亿养老金诈骗案,8000多个老人被同龄人骗走7亿养老金,蓝v视界",3,10,9,2022-08-26 17:11,微博视频号,,"http://f.video.weibocdn.com/o0/dRkKHvNjlx07YFiDB7xu01041200lPSo0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725940945&ssig=WETnWu9C%2FO&KID=unistore,video",,,蓝V
